             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
       3200708_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200709_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200710_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200711_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200712_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200713_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200714_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200715_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200716_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200717_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200718_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200719_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200720_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200721_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200722_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200723_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200724_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200828_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200725_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200726_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200727_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200728_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200729_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200730_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200731_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200732_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200733_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200734_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200735_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200736_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200737_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200738_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200739_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200740_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200741_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200742_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200743_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200744_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200745_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200746_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200747_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200748_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200749_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200750_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200751_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200752_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200753_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200754_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200755_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200756_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200757_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200758_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200759_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200760_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200761_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200762_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200763_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200764_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200765_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200766_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200767_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200768_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200769_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200770_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200771_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200772_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200773_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200774_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200775_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200776_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200777_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200778_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200779_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200780_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200781_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200782_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200783_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200784_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200785_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200786_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200787_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200788_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200789_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200790_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200791_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200792_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200793_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200794_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
